"codigo","lat","e/w","lon","n/s","nome sem acento","uf","nome original","altitude","area"
1,"-16.45.26","W","-49.26.15","S","abadia de goias","GO","Abadia de Goiás",898.000,136.900
2,"-18.29.08","W","-47.24.11","S","abadia dos dourados","MG","Abadia dos Dourados",742.000,897.400
3,"-16.12.15","W","-48.42.25","S","abadiania","GO","Abadiânia",1052.000,1047.700
4,"-19.09.36","W","-45.26.45","S","abaete","MG","Abaeté",647.000,1822.400
5,"-01.43.05","W","-48.52.57","S","abaetetuba","PA","Abaetetuba",10.000,1613.900
6,"-07.21.32","W","-39.02.44","S","abaiara","CE","Abaiara",409.000,182.600
7,"-13.14.59","W","-41.39.49","S","abaira","BA","Abaíra",641.000,580.600
8,"-08.43.13","W","-39.06.50","S","abare","BA","Abaré",318.000,1700.800
9,"-23.18.13","W","-50.18.45","S","abatia","PR","Abatiá",620.000,247.200
10,"-27.36.40","W","-51.01.21","S","abdon batista","SC","Abdon Batista",716.000,198.000
11,"-04.57.13","W","-48.23.36","S","abel figueiredo","PA","Abel Figueiredo",0.000,616.900
12,"-26.33.53","W","-52.19.42","S","abelardo luz","SC","Abelardo Luz",760.000,1037.700
13,"-20.18.04","W","-42.28.39","S","abre campo","MG","Abre Campo",548.000,472.400
14,"-07.54.42","W","-34.54.10","S","abreu e lima","PE","Abreu e Lima",19.000,129.100
15,"-09.37.17","W","-49.09.03","S","abreulandia","TO","Abreulândia",245.000,1903.100
16,"-20.21.45","W","-43.08.41","S","acaiaca","MG","Acaiaca",421.000,101.200
17,"-04.56.48","W","-47.30.17","S","acailandia","MA","Açailândia",240.000,6431.000
18,"-11.39.44","W","-38.01.02","S","acajutiba","BA","Acajutiba",162.000,268.500
19,"-01.57.39","W","-48.11.48","S","acara","PA","Acará",25.000,4363.600
20,"-04.13.27","W","-38.42.30","S","acarape","CE","Acarape",80.000,136.500
21,"-02.53.08","W","-40.07.12","S","acarau","CE","Acaraú",7.000,839.200
22,"-06.26.08","W","-36.38.20","S","acari","RN","Acari",270.000,612.900
23,"-08.12.54","W","-41.04.54","S","acaua","PI","Acauã",374.000,994.900
24,"-06.05.43","W","-39.27.09","S","acopiara","CE","Acopiara",317.000,2296.200
25,"-15.12.17","W","-56.21.57","S","acorizal","MT","Acorizal",164.000,844.100
26,"-09.49.40","W","-66.53.00","S","acrelandia","AC","Acrelândia",25.000,1609.700
27,"-17.23.44","W","-50.22.37","S","acreuna","GO","Acreúna",542.000,1571.100
28,"-05.34.36","W","-36.54.31","S","acu","RN","Açu",27.000,1297.500
29,"-19.04.23","W","-42.32.47","S","acucena","MG","Açucena",472.000,814.000
30,"-21.41.07","W","-51.04.21","S","adamantina","SP","Adamantina",401.000,412.900
31,"-16.24.54","W","-50.09.56","S","adelandia","GO","Adelândia",649.000,115.700
32,"-21.14.06","W","-49.38.37","S","adolfo","SP","Adolfo",443.000,211.400
33,"-24.39.26","W","-48.59.28","S","adrianopolis","PR","Adrianópolis",250.000,1333.000
34,"-10.32.00","W","-38.06.00","S","adustina","BA","Adustina",300.000,636.000
35,"-07.45.03","W","-37.38.21","S","afogados da ingazeira","PE","Afogados da Ingazeira",514.000,386.000
36,"-05.29.54","W","-36.30.20","S","afonso bezerra","RN","Afonso Bezerra",62.000,560.800
37,"-20.04.27","W","-41.07.26","S","afonso claudio","ES","Afonso Claúdio",370.000,955.200
38,"-04.07.58","W","-43.19.27","S","afonso cunha","MA","Afonso Cunha",76.000,372.600
39,"-08.30.54","W","-41.00.18","S","afranio","PE","Afrânio",522.000,1488.600
40,"-00.09.24","W","-50.23.12","S","afua","PA","Afuá",8.000,8410.300
41,"-08.27.29","W","-35.56.41","S","agrestina","PE","Agrestina",427.000,198.000
42,"-05.47.56","W","-42.40.08","S","agricolandia","PI","Agricolândia",230.000,99.200
43,"-27.24.42","W","-49.49.32","S","agrolandia","SC","Agrolândia",405.000,192.300
44,"-27.15.54","W","-49.42.40","S","agronomica","SC","Agronômica",347.000,116.700
45,"-06.47.28","W","-50.28.01","S","agua azul do norte","PA","Água Azul do Norte",0.000,7658.700
46,"-17.59.46","W","-42.23.20","S","agua boa","MG","Água Boa",407.000,1321.900
47,"-14.03.00","W","-52.09.31","S","agua boa","MT","Água Boa",400.000,11566.000
48,"-09.15.39","W","-37.56.10","S","agua branca","AL","Água Branca",570.000,456.600
49,"-07.30.43","W","-37.38.26","S","agua branca","PB","Água Branca",735.000,316.400
50,"-05.53.32","W","-42.38.10","S","agua branca","PI","Água Branca",240.000,90.200
51,"-20.26.53","W","-52.52.41","S","agua clara","MS","Água Clara",303.000,11063.000
52,"-20.03.23","W","-48.06.32","S","agua comprida","MG","Água Comprida",543.000,491.000
53,"-26.59.52","W","-51.33.22","S","agua doce","SC","Água Doce",847.000,1321.200
54,"-02.50.26","W","-42.06.44","S","agua doce do maranhao","MA","Água Doce do Maranhão",21.000,434.800
55,"-18.32.49","W","-40.58.43","S","agua doce do norte","ES","Água Doce do Norte",194.000,483.600
56,"-11.52.00","W","-38.46.00","S","agua fria","BA","Água Fria",312.000,710.000
57,"-14.59.08","W","-47.47.03","S","agua fria de goias","GO","Água Fria de Goiás",980.000,2036.700
58,"-18.04.25","W","-48.45.44","S","agua limpa","GO","Água Limpa",682.000,454.300
59,"-06.12.33","W","-38.17.50","S","agua nova","RN","Água Nova",270.000,47.000
60,"-08.42.27","W","-35.31.50","S","agua preta","PE","Água Preta",93.000,532.000
61,"-28.10.37","W","-52.02.02","S","agua santa","RS","Água Santa",650.000,352.800
62,"-22.03.34","W","-46.58.43","S","aguai","SP","Aguaí",660.000,474.600
63,"-20.56.33","W","-45.23.34","S","aguanil","MG","Aguanil",823.000,235.800
64,"-09.06.41","W","-37.07.23","S","aguas belas","PE","Águas Belas",376.000,887.500
65,"-21.56.12","W","-46.43.00","S","aguas da prata","SP","Águas da Prata",842.000,143.000
66,"-27.04.13","W","-52.59.12","S","aguas de chapeco","SC","Águas de Chapecó",291.000,139.100
67,"-22.28.35","W","-46.37.58","S","aguas de lindoia","SP","Águas de Lindóia",904.000,60.100
68,"-22.52.50","W","-49.14.20","S","aguas de santa barbara","SP","Águas de Santa Bárbara",644.000,409.500
69,"-22.35.58","W","-47.52.34","S","aguas de sao pedro","SP","Águas de São Pedro",470.000,3.700
70,"-17.04.56","W","-40.56.09","S","aguas formosas","MG","Águas Formosas",273.000,819.800
71,"-26.52.48","W","-52.51.33","S","aguas frias","SC","Águas Frias",345.000,76.900
72,"-15.45.43","W","-48.16.54","S","aguas lindas de goias","GO","Águas Lindas de Goiás",1080.000,191.900
